word,wcbc_freq_z,wcbc_rank_z,tasa_freq_z,tasa_rank_z,coca_freq_z,coca_rank_z,childes_freq_z,childes_rank_z,morphemes_z,syllables_z,aoa_z,letters_z,imageability_z,consistency_z
sloosh,-0.10143931271193429,0.23081930258663294,NA,NA,-0.019774089358825183,0.10436026405959938,-0.05049441809808926,-0.2743689667474793,NA,NA,NA,-0.13865704498549897,NA,NA
slope,-0.10143931271193429,0.2311671599644591,-0.0552748109057117,-1.0749862554771468,0.13165335822634913,-1.6954267624028028,-0.05080801785698293,0.12363748308533909,-0.9916618511930213,-1.0202509913160216,-0.8768713872610403,-0.6099679155473381,0.21964776467221406,1.085062179179966
slump,-0.10143931271193429,0.23151501734228525,NA,NA,-2.44194249709243e-4,-1.5697874816307815,-0.05080801785698293,0.12397363718148166,-0.9916618511930213,-1.0202509913160216,0.11463462591295895,-0.6099679155473381,-0.39590225534023676,1.085062179179966
sly,-0.10143931271193429,0.23186287472011138,-0.06164424693023737,-0.8762343482739732,0.044971758557265706,-1.6597741270769035,-0.04798562002693986,-1.0147819789111328,-0.9916618511930213,-1.0202509913160216,-0.21586737847837414,-1.5525896566710162,-1.2166356153568378,-0.2509709184940522
smack,-0.10143931271193429,0.23221073209793755,-0.06627656403898331,-0.5641386945278977,0.047589896669719654,-1.6619171816593348,-0.030737633287787742,-1.454135382569489,-0.9916618511930213,-1.0202509913160216,0.11463462591295895,-0.6099679155473381,0.08285887133611373,1.085062179179966
smacking,-0.10143931271193429,0.2325585894757637,NA,NA,0.00456751903804396,-1.5909474397552905,-0.047044820750258835,-1.094316038058468,0.6745907702200353,0.20681717203237465,NA,0.8039646961381792,NA,NA
smallest,-0.10143931271193429,0.23290644685358983,-0.05064249379696576,-1.165554492510643,0.050561837229802516,-1.6641792948296787,-0.03167843256446877,-1.44593322262361,0.6745907702200353,0.20681717203237465,NA,0.8039646961381792,NA,-1.3966196616383342
smartest,-0.10143931271193429,0.233254304231416,-0.06685560367757656,-0.4981253036842294,6.756921141259281e-4,-1.5744632370833584,-0.05112161761587661,1.419511523714997,0.6745907702200353,0.20681717203237465,NA,0.8039646961381792,NA,NA
smelly,-0.10143931271193429,0.23360216160924213,-0.06801368295476304,-0.3333587270771223,0.006265770786662737,-1.5969111926589246,-0.03669602870676757,-1.399745649813619,0.6745907702200353,0.20681717203237465,-0.5463693828697073,-0.13865704498549897,NA,-0.4873759633576793
smokey,-0.10143931271193429,0.23395001898706827,-0.06801368295476304,-0.33318079340908,-0.005975793901297617,-1.5304981476195447,-0.04610402147357781,-1.1527396199680489,0.6745907702200353,0.20681717203237465,NA,-0.13865704498549897,NA,NA
smoothly,-0.10143931271193429,0.2342978763648944,-0.0633813658460171,-0.7886909835971948,0.06881804352745438,-1.6759011539850972,-0.05049441809808926,-0.27349496609750856,0.6745907702200353,0.20681717203237465,-1.2073733916523735,0.8039646961381792,NA,-0.7549749301115063
snails,-0.10143931271193429,0.23464573374272057,-0.055853850544304945,-1.0618191640420214,-0.007815566628967959,-1.5121739485889596,-0.031051233046681417,-1.4511099957042057,0.6745907702200353,-1.0202509913160216,NA,-0.13865704498549897,NA,1.085062179179966
snap,-0.10143931271193429,0.2349935911205467,-0.05064249379696576,-1.1653765588426006,0.1354744246607414,-1.6961194669142956,0.12857104423019905,-1.652869684208984,-0.9916618511930213,-1.0202509913160216,0.445136630304292,-1.0812787861091773,-0.25911336200413676,1.0355794717010942
snappers,-0.10143931271193429,0.23534144849837285,NA,NA,-0.019208005442618924,-0.862287234712732,-0.04924001906251456,-0.8210899887137765,2.340843391633092,0.20681717203237465,NA,0.8039646961381792,NA,NA
snaps,-0.10143931271193429,0.23568930587619902,-0.06975080187054278,0.1089843716758673,0.07964439842489908,-1.6807717325815315,-0.03638242894787389,-1.403376114051959,0.6745907702200353,-1.0202509913160216,NA,-0.6099679155473381,NA,NA
snarling,-0.10143931271193429,0.23603716325402516,-0.06975080187054278,0.10934023901195176,0.006478052255240085,-1.5977121322503383,-0.05112161761587661,1.4226041413995087,0.6745907702200353,0.20681717203237465,NA,0.8039646961381792,NA,0.939271462799116
sneakers,-0.10143931271193429,0.2363850206318513,-0.05701192982149143,-1.029969037462462,0.05855777254621593,-1.6698183424935504,0.027905521625329447,-1.6039928786298525,2.340843391633092,0.20681717203237465,-0.5463693828697073,0.8039646961381792,NA,0.2779821605720543
sniffle,-0.10143931271193429,0.23673287800967746,NA,NA,-0.015457699497752457,-1.3527869698976445,-0.048926419303620884,-0.8830095732232403,-0.9916618511930213,0.20681717203237465,0.11463462591295895,0.33265382557634016,NA,0.16598239066555825
snowing,-0.10143931271193429,0.2370807353875036,-0.0593280883758644,-0.9571941672331888,0.004709040017095525,-1.5914886151548944,-0.007844850888549483,-1.5475189904778985,0.6745907702200353,0.20681717203237465,NA,0.33265382557634016,NA,-0.030827852077224816
snuggled,-0.10143931271193429,0.23742859276532974,-0.06859272259335629,-0.22570885791157172,0.004142956100889265,-1.5892481490005346,-0.048926419303620884,-0.8827406499463262,0.6745907702200353,0.20681717203237465,NA,0.8039646961381792,NA,0.05554979421517437
snugly,-0.10143931271193429,0.2377764501431559,-0.07032984150913602,0.4023969902775084,-0.008664692503277348,-1.5024219678880988,NA,NA,0.6745907702200353,0.20681717203237465,-0.5463693828697073,-0.13865704498549897,NA,-0.14775160779651453
snuvs,-0.10143931271193429,0.23812430752098204,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6099679155473381,NA,NA
soaking,-0.10143931271193429,0.23847216489880818,-0.06859272259335629,-0.2255309242435295,0.0317395470159444,-1.6465153297866102,-0.04014562605459799,-1.3467005334423194,0.6745907702200353,0.20681717203237465,NA,0.33265382557634016,NA,0.7013684008184535
soapbox,-0.10143931271193429,0.23882002227663432,NA,NA,-0.017438993204474364,-1.2289010974203394,NA,NA,0.6745907702200353,0.20681717203237465,1.4366426434782913,0.33265382557634016,NA,0.8916297795382933
soar,-0.10143931271193429,0.23916787965446049,-0.06975080187054278,0.11040784102020516,-0.0020839669773795853,-1.5591155027505943,-0.05112161761587661,1.4269741446493622,-0.9916618511930213,-1.0202509913160216,0.7756386346956251,-1.0812787861091773,-0.12232446866803644,1.085062179179966
sock,-0.10143931271193429,0.23951573703228662,-0.05411673162852522,-1.1016763056834815,0.025654144916727115,-1.6387873450802677,0.11728145291002677,-1.650382143897529,-0.9916618511930213,-1.0202509913160216,-0.8768713872610403,-1.0812787861091773,1.5191422513651662,1.007689219323297
soggy,-0.10143931271193429,0.23986359441011276,-0.0674346433161698,-0.4225034947662807,0.014969310998333972,-1.620246675889841,-9.456561928886364e-4,-1.5628476172620003,-0.9916618511930213,0.20681717203237465,-0.5463693828697073,-0.6099679155473381,NA,-0.5043411184897674
soldier,-0.10143931271193429,0.24021145178793893,-0.030376106446202266,-1.3525627776230291,0.25307835825259173,-1.710081792224074,-0.023211239074339547,-1.496423567864226,-0.9916618511930213,0.20681717203237465,-0.5463693828697073,0.33265382557634016,NA,-0.3754926200268268
somethings,-0.10143931271193429,0.24055930916576507,NA,NA,-0.013971729217711028,-1.405118631039333,-0.05080801785698293,0.12881425616593487,2.340843391633092,0.20681717203237465,NA,1.7465864372618576,NA,NA
sond,-0.10143931271193429,0.2409071665435912,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0812787861091773,NA,NA
songs,-0.10143931271193429,0.24125502392141737,-0.030376106446202266,-1.3523848439549868,0.17241140019319978,-1.7020940433259217,0.022574325724136975,-1.5977404124416004,0.6745907702200353,-1.0202509913160216,NA,-0.6099679155473381,NA,-1.0426942381559963
soothe,-0.10143931271193429,0.2416028812992435,-0.07090888114772925,1.5265819049683322,0.011219005053467505,-1.6113389288123623,NA,NA,-0.9916618511930213,-1.0202509913160216,0.11463462591295895,-0.13865704498549897,-0.5326911486763368,1.085062179179966
soundly,-0.10143931271193429,0.24195073867706965,-0.07032984150913602,0.40471012796205746,3.9265015602279855e-4,-1.573099475076357,-0.05018081833919558,-0.49293636005938685,0.6745907702200353,0.20681717203237465,2.4281486566522905,0.33265382557634016,NA,0.7966505204748389
sow,-0.10143931271193429,0.24229859605489582,-0.06511848476179682,-0.6675181556604346,-0.003428416278369451,-1.5501211676091788,-0.04798562002693986,-1.0145130556342188,-0.9916618511930213,-1.0202509913160216,0.11463462591295895,-1.5525896566710162,0.08285887133611373,-1.1467178833344156
sowing,-0.10143931271193429,0.24264645343272195,NA,NA,-0.014750094602494634,-1.380679149993225,NA,NA,0.6745907702200353,0.20681717203237465,NA,-0.13865704498549897,NA,-0.030827852077224816
spa,-0.10143931271193429,0.2429943108105481,NA,NA,0.005133602954250219,-1.5931013178457138,-0.05112161761587661,1.433966149849128,-0.9916618511930213,-1.0202509913160216,2.0976466522609574,-1.5525896566710162,1.0403811246888153,-3.03642669168526
spaceship,-0.10143931271193429,0.24334216818837423,-0.04311497849525361,-1.2596814029049839,0.01461550855070506,-1.6194998538383878,-0.01944804196761545,-1.5122900412021558,0.6745907702200353,0.20681717203237465,-1.2073733916523735,1.2752755667000184,NA,0.8190926270129706
spade,-0.10143931271193429,0.2436900255662004,-0.06801368295476304,-0.3322911250688689,0.005345884422827566,-1.5938914339291355,-0.05049441809808926,-0.2711418874245105,-0.9916618511930213,-1.0202509913160216,-0.5463693828697073,-0.6099679155473381,0.4932255513444147,0.7577150377240092
spark,-0.10143931271193429,0.24403788294402654,-0.0674346433161698,-0.42161382642606954,0.051057160656483,-1.664525647085425,-0.04986721858030191,-0.6323730791393303,-0.9916618511930213,-1.0202509913160216,0.16971829331151456,-0.6099679155473381,0.630014444680515,1.085062179179966
sparkle,-0.10143931271193429,0.24438574032185267,-0.06859272259335629,-0.22464125590331832,0.010794442116312811,-1.6104514011570121,-0.045163222196896786,-1.203633350124036,-0.9916618511930213,0.20681717203237465,0.11463462591295895,0.33265382557634016,NA,0.939271462799116
sparkles,-0.10143931271193429,0.24473359769967884,NA,NA,-0.004419063131730404,-1.542869417254488,-0.04359522340242841,-1.2649478572604431,0.6745907702200353,0.20681717203237465,NA,0.8039646961381792,NA,0.939271462799116
speckled,-0.10143931271193429,0.24508145507750498,-0.07032984150913602,0.40648946464247976,0.013271059249715195,-1.616425977568638,-0.048926419303620884,-0.8824717266694121,0.6745907702200353,0.20681717203237465,-0.5463693828697073,0.8039646961381792,NA,-0.28407456134599085
speeds,-0.10143931271193429,0.24542931245533112,-0.06627656403898331,-0.5630710925196443,0.0253003424690982,-1.6383760517765689,-0.05049441809808926,-0.27006619431685425,0.6745907702200353,-1.0202509913160216,NA,-0.13865704498549897,NA,1.085062179179966
spelling,-0.10143931271193429,0.24577716983315728,-0.04948441451977928,-1.1828140583107394,0.017587449110787922,-1.6261021937135542,-0.03418723063561817,-1.426032900131969,0.6745907702200353,0.20681717203237465,-1.2073733916523735,0.8039646961381792,NA,-0.28407456134599085
spelt,-0.10143931271193429,0.24612502721098342,NA,NA,-0.018854202994990014,-1.0007415489473717,-0.05049441809808926,-0.2699317326783972,-0.9916618511930213,-1.0202509913160216,2.4281486566522905,-0.6099679155473381,NA,NA
spiderwebs,-0.10143931271193429,0.24647288458880956,NA,NA,-0.016165304393010282,-1.3187253902465803,NA,NA,2.340843391633092,1.4338853353807708,NA,1.7465864372618576,NA,NA
spied,-0.10143931271193429,0.2468207419666357,-0.06685560367757656,-0.49616803333576487,0.019073419390829353,-1.6287647766796052,-0.05018081833919558,-0.4920623594094161,0.6745907702200353,-1.0202509913160216,-0.5463693828697073,-0.6099679155473381,NA,NA
spinach,-0.10143931271193429,0.24716859934446186,-0.06975080187054278,0.11343271337692311,-0.004489823621256187,-1.5423715358868524,-0.006590451852974783,-1.5506788389816388,-0.9916618511930213,0.20681717203237465,-0.5463693828697073,0.33265382557634016,NA,-1.6958044745034084
spirits,-0.10143931271193429,0.247516456722288,-0.05990712801445765,-0.9365538617402899,0.14729142641154705,-1.698273345004719,-0.05112161761587661,1.4396135386643234,0.6745907702200353,0.20681717203237465,0.995973304289847,0.33265382557634016,NA,-0.700881336176652
spitballs,-0.10143931271193429,0.24786431410011414,NA,NA,-0.018358879568309536,-1.1122020342497732,NA,NA,NA,NA,NA,1.2752755667000184,NA,NA
spite,-0.10143931271193429,0.2482121714779403,-0.05759096946008468,-1.0134212063345343,0.14608849808960875,-1.6980785218608616,-0.05112161761587661,1.4398824619412374,-0.9916618511930213,-1.0202509913160216,1.4366426434782913,-0.6099679155473381,-0.8746633820165873,1.085062179179966
splashed,-0.10143931271193429,0.24856002885576645,-0.051221533435559005,-1.1536329367518134,0.056647239329019806,-1.6685086980265091,-0.03606882918898022,-1.4060653468210995,0.6745907702200353,-1.0202509913160216,NA,0.8039646961381792,NA,0.7577150377240092
spoiling,-0.10143931271193429,0.24890788623359258,-0.07032984150913602,0.4084467349909443,-0.005905033411771835,-1.5311692051150534,-0.05049441809808926,-0.26939388612456905,0.6745907702200353,0.20681717203237465,NA,0.8039646961381792,NA,0.9181793240865016
spoken,-0.10143931271193429,0.24925574361141875,-0.0552748109057117,-1.07445245447302,0.2677965400739545,-1.7110126139113926,-0.04861281954472721,-0.9350462273061121,0.6745907702200353,0.20681717203237465,-0.5463693828697073,-0.13865704498549897,NA,-1.4050335679937649
sponge,-0.10143931271193429,0.2496036009892449,-0.06859272259335629,-0.22410745489919162,0.015747676383117578,-1.6221191427724702,0.0012495421193670874,-1.5664108506811116,-0.9916618511930213,-1.0202509913160216,-0.1057000436812632,-0.13865704498549897,0.9719866780207655,1.085062179179966
spoonful,-0.10143931271193429,0.24995145836707103,-0.06917176223194953,-0.08336192347778584,-0.0027915718726374095,-1.5545696293939222,-0.04014562605459799,-1.3465660718038623,0.6745907702200353,0.20681717203237465,-0.5463693828697073,0.8039646961381792,NA,-0.8740306211617352
spooning,-0.10143931271193429,0.25029931574489717,NA,NA,-0.011848914531937557,-1.4538244170036763,-0.05080801785698293,0.13291533613887438,0.6745907702200353,0.20681717203237465,NA,0.8039646961381792,NA,NA
spoons,-0.10143931271193429,0.25064717312272333,-0.05643289018289819,-1.044559598241925,0.014332466592601931,-1.6187963258189029,0.05236630281903608,-1.6220779690023235,0.6745907702200353,-1.0202509913160216,NA,-0.13865704498549897,NA,NA
sprained,-0.10143931271193429,0.2509950305005495,NA,NA,-0.012627279916721162,-1.4384550356549282,-0.05049441809808926,-0.2691921936668835,0.6745907702200353,-1.0202509913160216,NA,0.8039646961381792,NA,1.085062179179966
sprat,-0.10143931271193429,0.2513428878783756,NA,NA,-0.018288119078783756,-1.1248980091244787,-0.05080801785698293,0.133385951873474,-0.9916618511930213,-1.0202509913160216,2.758650661043623,-0.6099679155473381,NA,NA
spray,-0.10143931271193429,0.2516907452562018,-0.058170009098677915,-0.9990085792231135,0.12726620787575063,-1.6945500582554447,-0.005336052817400083,-1.5536369950276936,-0.9916618511930213,-1.0202509913160216,-0.1057000436812632,-0.6099679155473381,0.35643665800831437,0.9120738504568284
sprouted,-0.10143931271193429,0.25203860263402794,-0.07032984150913602,0.4095143369991977,0.007539459598126821,-1.6009916551719374,-0.05080801785698293,0.13378933678884508,0.6745907702200353,0.20681717203237465,NA,0.8039646961381792,NA,-0.4585239182686048
sprouts,-0.10143931271193429,0.25238646001185405,-0.06801368295476304,-0.3312235230606155,-0.0053389494955655755,-1.5358233135516461,-0.030424033528894067,-1.455950614688659,0.6745907702200353,-1.0202509913160216,NA,0.33265382557634016,NA,NA
spun,-0.10143931271193429,0.2527343173896802,-0.04485209741103333,-1.239752832084254,0.17948744914577802,-1.7031655706171374,-0.04861281954472721,-0.9348445348484266,-0.9916618511930213,-1.0202509913160216,0.445136630304292,-1.0812787861091773,-0.7378744886804873,0.9390607298035435
spying,-0.10143931271193429,0.2530821747675064,-0.07032984150913602,0.4100481380033244,0.012917256802086283,-1.6157549200731294,-0.048299219785833535,-0.9768637968662495,0.6745907702200353,0.20681717203237465,NA,-0.13865704498549897,NA,0.4170456303429571
squash,-0.10143931271193429,0.2534300321453325,-0.06511848476179682,-0.6668064209882657,0.015040071487859755,-1.6204847930656667,-0.0028272547462506853,-1.559015460565975,-0.9916618511930213,-1.0202509913160216,1.023515137989125,-0.13865704498549897,0.5616199980124645,-1.0426942381559963
squeaked,-0.10143931271193429,0.25377788952315866,-0.06164424693023737,-0.8749888125976775,0.0128464963125605,-1.6155276264052958,-0.04798562002693986,-1.014042439899619,0.6745907702200353,-1.0202509913160216,NA,0.8039646961381792,NA,1.085062179179966
squeaking,-0.10143931271193429,0.2541257469009848,NA,NA,0.002444704352270488,-1.5823860449335583,-0.038577627260129616,-1.3728533221222123,0.6745907702200353,0.20681717203237465,NA,1.2752755667000184,NA,1.085062179179966
squealed,-0.10143931271193429,0.25447360427881094,-0.06511848476179682,-0.6666284873202234,0.017162886173633228,-1.6252579600901724,-0.05049441809808926,-0.26858711629382687,0.6745907702200353,-1.0202509913160216,NA,0.8039646961381792,NA,1.085062179179966
squid,-0.10143931271193429,0.2548214616566371,-0.06453944512320359,-0.7104001696586126,0.005345884422827566,-1.5938806104211434,-0.03889122701902329,-1.3677437798608452,-0.9916618511930213,-1.0202509913160216,1.4366426434782913,-0.6099679155473381,1.313958911361016,1.085062179179966
squirt,-0.10143931271193429,0.2551693190344632,NA,NA,-0.0025085299145342797,-1.556528684340488,0.05487510089018548,-1.6240276627599504,-0.9916618511930213,-1.0202509913160216,0.11463462591295895,-0.13865704498549897,0.21964776467221406,1.085062179179966
stag,-0.10143931271193429,0.2555171764122894,-0.06917176223194953,-0.08176052046540576,-0.00222548795643115,-1.5582387986032362,-0.05049441809808926,-0.26771311564385614,-0.9916618511930213,-1.0202509913160216,0.555303965101403,-1.0812787861091773,0.35643665800831437,1.085062179179966
staler,-0.10143931271193429,0.25586503379011555,NA,NA,-0.01963256837977362,-0.4398132472580191,NA,NA,NA,NA,NA,-0.13865704498549897,NA,NA
stammered,-0.10143931271193429,0.25621289116794166,-0.06511848476179682,-0.666272619984139,0.013554101207818324,-1.6170537410321786,NA,NA,0.6745907702200353,0.20681717203237465,NA,1.2752755667000184,NA,-0.17060326063434222
stare,-0.10143931271193429,0.2565607485457678,-0.055853850544304945,-1.0611074293698526,0.40337363800535353,-1.716900602259082,-0.045790421714684136,-1.1700179405097777,-0.9916618511930213,-1.0202509913160216,-0.8768713872610403,-0.6099679155473381,0.014464424668063879,0.9999519224865273
starlas,-0.10143931271193429,0.256908605923594,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33265382557634016,NA,NA
starving,-0.10143931271193429,0.2572564633014201,-0.06280232620742386,-0.8175162378200365,0.046599249816358705,-1.6611487125918973,-0.038577627260129616,-1.3727188604837552,0.6745907702200353,0.20681717203237465,NA,0.8039646961381792,NA,0.939271462799116
states,-0.10143931271193429,0.25760432067924627,0.036213451992020654,-1.5274715733085436,0.3053703600121449,-1.7133721386536653,-0.026974436181063644,-1.4772627843840986,0.6745907702200353,-1.0202509913160216,NA,-0.13865704498549897,NA,1.085062179179966
