word,aoa
american plan,14
americanism,4
americanize,6
americas,6
amethyst,13
amiability,14
amiable,12
amicable,13
amice,14
amid,10
amide,13
amidships,13
amidst,8
amino acids,14
amir,14
amiss,10
amitosis,14
amity,10
ammeter,10
ammo,8
ammonia,8
ammunition,6
amnesia,6
amnesty,14
amoeba,10
among,4
amongst,6
amontillado,14
amoral,12
amorous,12
amorphous,13
amortization,14
amortize,12
amount,2
amour,12
amour-propre,14
amp,8
amperage,8
ampere,8
ampersand,14
amphetamine,13
amphibian,9
amphibious,12
amphitheater,12
amphora,14
ample,8
amplification,10
amplifier,6
amplify,8
amplitude,12
amply,12
ampoule,14
amputate,8
amputation,8
amputee,10
amtrak,8
amuck,14
amulet,13
amuse,6
amusement,4
amusement park,4
amylase,14
amylopsin,14
an,4
anabaptist,14
anabasis,14
anabolism,12
anachronism,14
anachronistic,14
anacidity,13
anaconda,10
anaerobic,12
anaesthesia,10
anaesthetic,10
anagram,13
anal,12
analgesia,14
analgesic,10
analogize,13
analogous,13
analogue,13
analogy,14
analysis,8
analyst,8
analytic,8
analytics,12.5
analyze,6
anapest,14
anarchic,13
anarchism,12
anarchist,12
anarchy,14
anathema,14
anathematize,14
anatomic,12
anatomical,12
anatomist,13
anatomize,12
anatomy,9
ancestor,2
ancestors,4
ancestral,8
ancestry,8
anchor,5.333333333333333
anchorage,8
anchorite,14
anchorman,10
anchors,6
anchovy,14
ancien regime,14
ancient,4
ancillary,13.5
and,2
and so forth,6
andante,12
andantino,14
andiron,12
androgen,14
androgynous,14
anecdote,12
anemia,9
anemic,8
anemograph,14
anemometer,14
anemone,14
anent,13
aneroid,13
anesthetic,10
anesthetize,12
aneurysm,14
anew,10
angel,5.666666666666667
angel food,2
angelfish,9.5
angelic,10
angelus,14
anger,2
angina,14
angina pectoris,12
angiosperm,12
angle,9.5
angler,10
angleworm,8
anglicize,14
angling,10
anglomania,14
anglophobia,14
angora,10
angostura,12
angrily,2
angry,2
angstrom,10
anguish,13
angular,8
angularity,12
angus,12
anhydrous,13
anile,12
aniline,14
animadversion,14
animadvert,14
animal,2
animalcule,13
animate,14
animated cartoon,6
animation,14
animism,12
animosity,13
animus,13
anion,14
anise,13
aniseed,14
ankle,2
anklets,6
ankylosis,14
annalist,13
annals,13
anneal,14
annelid,14
annex,8
annexation,8
annihilate,10
annihilation,10
anniversary,4
anno domini,10
annotate,13.5
annotation,12
announce,4
announcee,2
announcement,2
announcer,2
annoy,6
annoyance,8
annual,4
annually,4
annuals,13
annuit coeptis,12
annuitant,13
annuity,13
annul,13
annular,14
annum,14
annunciation,12
anode,12
anodyne,13
anoint,8
anomalous,13
anomaly,14
anon,14
anonym,14
anonymous,10
anopheles,13.5
another,3
anoxia,13
anschluss,14
anserine,14
answer,6.5
answerable,10
ant,2
ant hill,2
ant lion,14
antacid,12
antagonism,10
antagonist,10
antagonistic,12
antagonize,12
antarctic,10
antarctica,6
antbear,13
ante,12.5
ante-bellum,13
ante-meridiem,13
anteater,4
antecedent,13.5
antechamber,13
antedate,13
antediluvian,14
antelope,4
antenna,5.333333333333333
antennule,14
antepenult,14
anterior,14
anteroom,10
anthem,6
anther,12
anthologist,12
anthology,10
anthracite,8
anthrax,14
anthropoid,12
anthropology,6
anthropometry,14
anthropomorphic,14
anthropomorphism,14
anti,6
anti-aircraft,6
anti-imperialism,12
anti-matter,6
anti-semitism,12
antibiotic,10
antibodies,10
antic,8
antichrist,12
anticipate,10
anticipation,10
anticlerical,13
anticlimax,14
anticline,13
anticoagulant,12
antics,8
anticyclone,14
antidote,10
antifreeze,6
antigen,14
antihistamine,8
antiknock,12
antilogy,13
antimacassar,14
antimony,14
antinode,14
antinomy,14
antipasto,13
antipathetic,13
antipathy,13
antipersonnel weapons,12
antiphons,14
antiphony,14
antipodal,14
antipodes,13.5
antipyretic,14
antiquarian,14
antiquary,14
antiquated,10
antique,6
antiquing,12
antiquity,12
antirachitic,13
antiseptic,8
antislavery,4
antisocial,8
antithesis,14
antithetic,13
antitoxin,8
antitrust,12
antler,4
antonym,6
antonyms,6
antrum,14
anus,12
anvil,8
anxiety,8
anxious,6
any,3.3333333333333335
anybody,4
anyhow,4.666666666666667
anyone,2
anything,3.3333333333333335
anything else,2
anyway,4
anywhere,4
anywhere you go,6
anywise,12
anzac,13
aorist,14
aorta,10
apace,14
apache,12
apart,5.333333333333333
apart from,6
apartheid,14
apartment,2
apathetic,12
apathy,10
ape,8
apelike,4
apercu,13
aperient,14
aperitif,14
aperture,13
apetalous,14
apex,12
aphasia,14
aphelion,14
aphid,14
aphorism,14
apiarist,14
apiary,14
apices,14
apiculture,14
apiece,4
aping,8
apish,13
aplenty,2
aplomb,14
apnea,14
apocalypse,14
apocalyptic,14
apocope,14
apocryphal,14
apod,14
apodal,13
apogee,13
apologetic,6
apologetics,14
apologia,14
apologist,14
apologize,4
apologue,13
apology,4
apoplectic,13
apoplexy,14
apostasy,13
apostate,13
apostle,8
apostolic,12
apostolicity,12
apostrophe,11
apostrophize,13
apothecary,12
apothegm,13
apotheosis,14
appall,11.5
appanage,14
apparatus,10
apparel,10
apparent,6
apparently,8
apparition,13
appeal,6
appealingly,13
appear,3.3333333333333335
appearance,6
appease,12
appeasement,12.5
appellant,13
appellate,13
appellation,14
appellative,13
append,12
appendage,10
appendectomy,10
appendices,12
appendicitis,2
appendix,6
apperceive,14
apperception,13
appertains,12
appetite,4
appetizer,6
appetizing,6
applaud,4
applause,2
apple,2
apple polisher,12
apple-pie,13
applejack,12
applesauce,6
appliance,4
applicable,10
applicant,8
application,7
applicator,8
applied,8
applies,8
applique,13
apply,6
apply for,6
appoggiatura,14
appoint,6
appointed,13
appointee,8
appointive,10
appointment,4
apportion,12
apportionment,13
apposite,14
apposition,14
appositive,13
appraisal,12
appraise,8
appreciable,13
appreciate,7
appreciation,8
appreciative,6
apprehend,9
apprehension,12.5
apprehensive,14
apprentice,8
apprenticeship,8
apprise,14
approach,4
approachable,6
approbation,14
appropriate,11
appropriation,12
approval,6
approve,6
approvingly,8
approximate,8
approximately,6
approximation,6
appurtenance,14
appurtenant,14
apricot,5
april,2
apron,7.666666666666667
apropos,13
apropos of,14
apse,14
apt,8.666666666666666
apterous,14
apteryx,14
aptitude,10
aptly,13
aptness,8
aqua,9
aqua pure,12
aqua regia,14
aqua vitae,14
aqualung,8
aquamarine,13
aquaplane,14
aquarium,3
aquarius,12
aquatic,10
aquatint,13
aqueduct,10
aqueous,13
aqueous humor,14
aquiline,14
arab,9
arabesque,12
arabia,12
arabic,12
arabic numerals,8
arable,10
arachnid,14
arachnoid,13
ararat,13
arbeit,12
arbiter,12
arbitrage,14
arbitrament,13
arbitrary,13
arbitrate,13
arbitration,12
arbitrator,12
arbor,12.5
arbor day,12
arbor vitae,13
arboreal,12.5
arboreous,12
arboretum,14
arbutus,13
arc,10.666666666666666
arc over,8
arcade,13
arcadian,12
arcane,12
arcanum,14
arch,10.8
archaeological,12
archaeology,8
archaeopteryx,13
archaic,14
archaism,12
archangel,14
archbishop,6
archdeacon,10
archdiocese,13
archduke,8
arched,6
archenemy,12
archer,6
archery,8
archetype,14
archfiend,12
archipelago,14
architect,6
architectural,8
architecture,4.666666666666667
architrave,12
archive,12
archly,14
archon,14
archway,4
arctic,4
arctics,12
arcturus,13
ardent,13
ardor,14
arduous,13
are,2
area,7.5
areaway,10
aren't,2
arena,4
arete,13
argent,13
argon,13
argosy,14
argot,13.5
argue,4
argue with,8
argufy,14
argument,5.333333333333333
argumentative,8
argus,13
argyrol,13
aria,14
arid,8
aridity,12
aright,13
arise,5.5
arisen,6
aristocracy,10
aristocrat,8
aristocratic,10
arithmetic,2
arithmetical,6
ark,4
arm,4
armada,10
armadillo,8
armageddon,13
armament,10
armamentarium,13
armature,13
armchair,2
armed forces,2
armful,4
armhole,4
armistice,8
armistice day,12
armlet,12
armload,4
armor,4
armor-bearer,12
armor-clad,6
armored,4
armorer,12
armorial,12
armory,6
armpit,8
arms,4
army,2
arnica,14
aroma,8
aromatic,12
arose,4
around,4.666666666666667
arouse,7
arpeggio,14
arquebus,13
arraign,13.5
arraignment,12
arrange,4
arrangement,4
arrant,13
arras,13
array,10
arrayed,12
arrearage,14
arrears,14
arrest,7
arresting,12
arrhythmia,14
arriere-pensee,13
arrival,4
arrive,7.5
arrivederci,14
arriving,4
arrogance,10
arrogant,10
arrogate,14
arrondissement,12
arrow,2
arrowhead,2
arrowroot,12
arroyo,12
arsenal,12
arsenate,13
arsenic,12
arsenious,12
arson,10
arsonist,10
art,6.75
arterial,10
arteriosclerosis,8
artery,6
artesian,13
artful,11
arthritis,6
arthropod,14
arthrosclerosis,12
artichoke,13
article,6.8
articular,13
articulate,12
articulation,12
artifact,12
artifice,14
artificer,13
artificial,4
artificial respiration,6
artillery,6
artisan,10
artist,2
artiste,12
artistic,4
artistry,8
artless,13
arty,12
as,4.285714285714286
as a matter of fact,4
as a result,8
as a rule,12
as fast as,6
as for me,6
as is,6
as large as,6
as to (money),6
as well as,6
asafetida,13
asana,13
asbestos,8
ascend,8
ascendancy,12
ascendant,12
ascension,12
ascent,12
ascertain,8
ascetic,14
asceticism,13
ascorbic acid,13
ascot,14
ascribe,13
ascription,14
aseptic,14
asexual,12
ash,4.666666666666667
ashamed,4
ashcan,13
ashen,12
ashes,4
ashlar,12
ashman,6
ashore,4
ashtray,4
ashy,10
asia,4
asia minor,12
aside,8
asinine,12
asininity,13
ask,2
ask after,10
askance,13
askew,12
aslant,12
asleep,3
asocial,12
asp,14
asparagus,6
asparkle,4
aspect,8
aspen,13
asperity,14
asperse,12
aspersion,12
asphalt,8
asphodel,13
asphyxiate,10
asphyxiation,10
aspic,14
aspidistra,14
aspirant,12
aspirate,12.5
aspiration,8
aspire,8
aspirey,12
aspirin,4
asquint,12
ass,3
