orth,wcbc_freq,rank
havent,25,886
heres,25,887
jennys,25,888
knees,25,889
knows,25,890
mallard,25,891
river,25,892
rolled,25,893
scared,25,894
shang,25,895
sick,25,896
standing,25,897
swamp,25,898
throw,25,899
upstairs,25,900
wheels,25,901
whose,25,902
windows,25,903
word,25,904
write,25,905
bears,24,906
bite,24,907
boom,24,908
broken,24,909
change,24,910
chase,24,911
christmas,24,912
closed,24,913
coat,24,914
daddy,24,915
danced,24,916
department,24,917
downstairs,24,918
dreams,24,919
extra,24,920
fair,24,921
farmer,24,922
fritz,24,923
g,24,924
heavy,24,925
held,24,926
hurried,24,927
land,24,928
laughing,24,929
leg,24,930
likes,24,931
living,24,932
longer,24,933
lorax,24,934
monkeys,24,935
myself,24,936
pail,24,937
pocket,24,938
pull,24,939
singing,24,940
sneeze,24,941
special,24,942
splash,24,943
store,24,944
tacos,24,945
tea,24,946
tikki,24,947
tricks,24,948
wife,24,949
worry,24,950
yard,24,951
absolutely,23,952
anyway,23,953
blocks,23,954
carried,23,955
carry,23,956
cause,23,957
chocolate,23,958
crow,23,959
dot,23,960
drive,23,961
dry,23,962
eye,23,963
fit,23,964
forever,23,965
hippos,23,966
hook,23,967
horton,23,968
hurt,23,969
james,23,970
ladder,23,971
led,23,972
maid,23,973
money,23,974
monkey,23,975
moved,23,976
nap,23,977
none,23,978
olivia,23,979
pat,23,980
pout,23,981
puppies,23,982
rogers,23,983
shark,23,984
shiny,23,985
snake,23,986
steam,23,987
stepped,23,988
trip,23,989
trouble,23,990
wished,23,991
worked,23,992
zoo,23,993
ago,22,994
anyone,22,995
arms,22,996
band,22,997
bang,22,998
born,22,999
cans,22,1000
choo,22,1001
choose,22,1002
chug,22,1003
crawled,22,1004
dropped,22,1005
dug,22,1006
free,22,1007
hay,22,1008
hide,22,1009
hung,22,1010
jim,22,1011
kissed,22,1012
kitten,22,1013
later,22,1014
letter,22,1015
lucky,22,1016
mayor,22,1017
minute,22,1018
mountains,22,1019
oclock,22,1020
ralph,22,1021
rose,22,1022
rushed,22,1023
saturday,22,1024
speak,22,1025
strange,22,1026
supper,22,1027
surprise,22,1028
takes,22,1029
taste,22,1030
watching,22,1031
words,22,1032
ahead,21,1033
anymore,21,1034
arrived,21,1035
asks,21,1036
bats,21,1037
bells,21,1038
blow,21,1039
bridge,21,1040
cave,21,1041
circle,21,1042
colors,21,1043
crazy,21,1044
curious,21,1045
den,21,1046
doughnuts,21,1047
dust,21,1048
empty,21,1049
fallen,21,1050
forget,21,1051
forgot,21,1052
half,21,1053
having,21,1054
hoo,21,1055
join,21,1056
l,21,1057
martha,21,1058
morris,21,1059
mud,21,1060
nutbrown,21,1061
ocean,21,1062
park,21,1063
peanut,21,1064
penguin,21,1065
perhaps,21,1066
race,21,1067
reach,21,1068
riddle,21,1069
rocket,21,1070
s,21,1071
secret,21,1072
shell,21,1073
stinky,21,1074
sylvester,21,1075
track,21,1076
turtles,21,1077
wake,21,1078
whiskers,21,1079
wondered,21,1080
youd,21,1081
4,20,1082
5,20,1083
angry,20,1084
apples,20,1085
barn,20,1086
beat,20,1087
belly,20,1088
break,20,1089
buttons,20,1090
class,20,1091
cozy,20,1092
de,20,1093
eaten,20,1094
fear,20,1095
florio,20,1096
fresh,20,1097
frightened,20,1098
goo,20,1099
hooray,20,1100
horn,20,1101
houses,20,1102
hush,20,1103
jo,20,1104
john,20,1105
kittens,20,1106
knock,20,1107
low,20,1108
luck,20,1109
onto,20,1110
pajama,20,1111
paul,20,1112
poem,20,1113
quietly,20,1114
rather,20,1115
replied,20,1116
rocks,20,1117
since,20,1118
sisters,20,1119
spoke,20,1120
swim,20,1121
t,20,1122
telephone,20,1123
whoooooooo,20,1124
woods,20,1125
working,20,1126
against,19,1127
anywhere,19,1128
between,19,1129
bigger,19,1130
certainly,19,1131
chance,19,1132
clang,19,1133
country,19,1134
dolls,19,1135
dream,19,1136
e,19,1137
ed,19,1138
feels,19,1139
field,19,1140
gets,19,1141
glad,19,1142
glass,19,1143
goodbye,19,1144
gown,19,1145
grace,19,1146
gus,19,1147
happily,19,1148
hills,19,1149
hundred,19,1150
job,19,1151
jungle,19,1152
kid,19,1153
lifted,19,1154
lulu,19,1155
market,19,1156
math,19,1157
mess,19,1158
neck,19,1159
note,19,1160
pigs,19,1161
plan,19,1162
plate,19,1163
pole,19,1164
returned,19,1165
sal,19,1166
seeds,19,1167
shake,19,1168
shop,19,1169
shout,19,1170
smart,19,1171
son,19,1172
speck,19,1173
stone,19,1174
strawberry,19,1175
suit,19,1176
tank,19,1177
thinking,19,1178
thinks,19,1179
thousand,19,1180
thumb,19,1181
tortoise,19,1182
trash,19,1183
unicorn,19,1184
woke,19,1185
writing,19,1186
wrote,19,1187
yertle,19,1188
6,18,1189
albie,18,1190
battle,18,1191
beginning,18,1192
branch,18,1193
breath,18,1194
carrots,18,1195
chairs,18,1196
chicka,18,1197
clouds,18,1198
desk,18,1199
ding,18,1200
doctor,18,1201
dressed,18,1202
elizabeth,18,1203
exactly,18,1204
except,18,1205
flop,18,1206
gate,18,1207
gives,18,1208
happen,18,1209
harold,18,1210
hid,18,1211
highway,18,1212
jumping,18,1213
knocked,18,1214
knox,18,1215
lazy,18,1216
lives,18,1217
lonely,18,1218
mail,18,1219
mixed,18,1220
north,18,1221
pickle,18,1222
piece,18,1223
pot,18,1224
proud,18,1225
raised,18,1226
rode,18,1227
ruby,18,1228
shed,18,1229
sighed,18,1230
sight,18,1231
slide,18,1232
somewhere,18,1233
tent,18,1234
thanks,18,1235
tonight,18,1236
tooth,18,1237
tractor,18,1238
traffic,18,1239
whatever,18,1240
wings,18,1241
wren,18,1242
7,17,1243
applesauce,17,1244
awful,17,1245
bark,17,1246
bottle,17,1247
calf,17,1248
calling,17,1249
captains,17,1250
clay,17,1251
click,17,1252
cook,17,1253
cookie,17,1254
count,17,1255
drives,17,1256
engines,17,1257
fruit,17,1258
game,17,1259
garbage,17,1260
grown,17,1261
harry,17,1262
hedgie,17,1263
huge,17,1264
kisses,17,1265
la,17,1266
