word,childes,childes_rank,childes_freq_z,childes_rank_z
felix's,14,9340,-0.047044820750258835,-1.10419896848506
fixer,14,9341,-0.047044820750258835,-1.1041317376658315
flattened,14,9342,-0.047044820750258835,-1.1040645068466028
fleas,14,9343,-0.047044820750258835,-1.1039972760273744
flippers,14,9344,-0.047044820750258835,-1.103930045208146
flips,14,9345,-0.047044820750258835,-1.1038628143889173
floppity,14,9346,-0.047044820750258835,-1.1037955835696889
fond,14,9347,-0.047044820750258835,-1.1037283527504602
footrace,14,9348,-0.047044820750258835,-1.1036611219312318
footstool,14,9349,-0.047044820750258835,-1.1035938911120033
fourteenth,14,9350,-0.047044820750258835,-1.1035266602927747
funeral,14,9351,-0.047044820750258835,-1.1034594294735462
gabor,14,9352,-0.047044820750258835,-1.1033921986543178
gadiga,14,9353,-0.047044820750258835,-1.1033249678350892
gatta,14,9354,-0.047044820750258835,-1.1032577370158607
gears,14,9355,-0.047044820750258835,-1.1031905061966323
geraldine,14,9356,-0.047044820750258835,-1.1031232753774036
gigantic,14,9357,-0.047044820750258835,-1.1030560445581752
gink,14,9358,-0.047044820750258835,-1.1029888137389465
grampa's,14,9359,-0.047044820750258835,-1.102921582919718
grandson,14,9360,-0.047044820750258835,-1.1028543521004897
grave,14,9361,-0.047044820750258835,-1.102787121281261
greif,14,9362,-0.047044820750258835,-1.1027198904620326
grim,14,9363,-0.047044820750258835,-1.1026526596428041
grinder,14,9364,-0.047044820750258835,-1.1025854288235755
gunk,14,9365,-0.047044820750258835,-1.102518198004347
gut,14,9366,-0.047044820750258835,-1.1024509671851186
handful,14,9367,-0.047044820750258835,-1.10238373636589
hangers,14,9368,-0.047044820750258835,-1.1023165055466615
harold's,14,9369,-0.047044820750258835,-1.102249274727433
hatches,14,9370,-0.047044820750258835,-1.1021820439082044
haza,14,9371,-0.047044820750258835,-1.102114813088976
heating,14,9372,-0.047044820750258835,-1.1020475822697473
height,14,9373,-0.047044820750258835,-1.1019803514505189
hoho,14,9374,-0.047044820750258835,-1.1019131206312904
honking,14,9375,-0.047044820750258835,-1.1018458898120618
hyacinths,14,9376,-0.047044820750258835,-1.1017786589928333
impressive,14,9377,-0.047044820750258835,-1.101711428173605
in+law,14,9378,-0.047044820750258835,-1.1016441973543762
insurance,14,9379,-0.047044820750258835,-1.1015769665351478
interference,14,9380,-0.047044820750258835,-1.1015097357159194
ioo,14,9381,-0.047044820750258835,-1.1014425048966907
israel,14,9382,-0.047044820750258835,-1.1013752740774623
issue,14,9383,-0.047044820750258835,-1.1013080432582336
itches,14,9384,-0.047044820750258835,-1.1012408124390052
jackolantern,14,9385,-0.047044820750258835,-1.1011735816197767
jawas,14,9386,-0.047044820750258835,-1.101106350800548
jeremiah,14,9387,-0.047044820750258835,-1.1010391199813196
jerk,14,9388,-0.047044820750258835,-1.1009718891620912
jiggle,14,9389,-0.047044820750258835,-1.1009046583428626
jimmy's,14,9390,-0.047044820750258835,-1.1008374275236341
jis,14,9391,-0.047044820750258835,-1.1007701967044057
jjay,14,9392,-0.047044820750258835,-1.100702965885177
jo_anne,14,9393,-0.047044820750258835,-1.1006357350659486
judge,14,9394,-0.047044820750258835,-1.1005685042467201
juices,14,9395,-0.047044820750258835,-1.1005012734274915
jumpy,14,9396,-0.047044820750258835,-1.100434042608263
katherine,14,9397,-0.047044820750258835,-1.1003668117890344
kathleen,14,9398,-0.047044820750258835,-1.100299580969806
ke,14,9399,-0.047044820750258835,-1.1002323501505775
keen,14,9400,-0.047044820750258835,-1.1001651193313489
key+chain,14,9401,-0.047044820750258835,-1.1000978885121204
killer,14,9402,-0.047044820750258835,-1.100030657692892
kim's,14,9403,-0.047044820750258835,-1.0999634268736633
knights,14,9404,-0.047044820750258835,-1.099896196054435
knowledge,14,9405,-0.047044820750258835,-1.0998289652352065
knuckles,14,9406,-0.047044820750258835,-1.0997617344159778
kong,14,9407,-0.047044820750258835,-1.0996945035967494
kooshball,14,9408,-0.047044820750258835,-1.0996272727775207
lamb's,14,9409,-0.047044820750258835,-1.0995600419582923
